最近心情一直很低落，做什么都提不起劲,depressed
今天又是一个人待在房间里，孤独感好强,depressed
已经连续好几天失眠了，翻来覆去睡不着,depressed
不知道为什么最近总是觉得很忧伤,depressed
看着同学们有说有笑，我只有孤独感,depressed
今天又没精神去上课，整个人消沉得不行,depressed
晚上怎么也睡不好，总是半夜就醒了,depressed
没什么特别的事，就是情绪低落提不起兴趣,depressed
最近什么都不想做，对什么都提不起劲,depressed
吃完饭就躺在床上一动不动，完全没动力了,depressed
今天的心情又沉到了谷底，好难过好失落,depressed
已经好几天没跟人说过话了，不想说话不想动,depressed
一个人走回家的路上，心里特别失落好难过,depressed
眼睛又湿了，眼泪总是在不经意间掉下来,depressed
每天晚上都睡不好，白天也没精神不想动,depressed
最近老是一个人发呆，感觉好空虚好落寞,depressed
又是一个人的周末，连出门的力气都没有了，好消沉,depressed
看着窗外发呆，心里有种说不出的忧伤和烦闷,depressed
没什么食欲，吃什么都觉得没意思好失落,depressed
最近总是很想哭，但又不知道为什么好难受,depressed
这次考试又考砸了，觉得自己好没用心里好难过,depressed
努力了那么久成绩还是没进步，好失落好消沉,depressed
看着成绩单上的分数，心里特别难过特别失落,depressed
明明很认真在学了可成绩就是上不去，好沮丧,depressed
好像不管怎么努力都不行，心情很消沉很低落,depressed
这次排名又掉了很多，感觉自己越来越差好难受,depressed
老师叫到名字的时候低着头，心里好难过不想看,depressed
期中考试成绩出来了比上次还差，好失落好难过,depressed
作业做了一整晚还是不会，感觉自己好笨好沮丧,depressed
看着别人轻轻松松拿高分我只有难过的份,depressed
补课也没用成绩越来越差，心里好难受好消沉,depressed
听到别人被表扬的时候我只有躲起来好失落,depressed
觉得自己什么都做不好，心情很低落很沮丧,depressed
明明花了很多时间复习还是考不好好难过,depressed
模拟考的成绩让我特别消沉，心里好低落好难受,depressed
成绩退步了好多感觉自己好没用，心情特别消沉,depressed
每次考试都考不好，对自己越来越失望好难过,depressed
数学又没及格感觉自己真的很笨心情很低落,depressed
努力了很久结果还是一样，真的好沮丧好消沉,depressed
成绩单发下来的时候手都在抖，心里好难过,depressed
朋友约我出去我都没去不想见人心情很低落,depressed
今天班上有活动我也没参加一个人待着好落寞,depressed
同学们聊天我插不上嘴就一个人坐着好孤独好失落,depressed
手机响了也不想看不想跟任何人说话好空虚好孤独,depressed
今天又推掉了朋友的邀约只想一个人待着好落寞,depressed
大家都在讨论去哪里玩我只觉得好孤独好失落,depressed
又是一个人吃午饭感觉好空虚好孤独感,depressed
朋友圈里看到同学聚会只有我没有人约好落寞,depressed
同学发消息我也懒得回不想社交了好孤独好落寞,depressed
体育课自由活动的时候都是一个人站着好失落,depressed
凌晨三点还醒着脑子里想东想西，又失眠了,depressed
又失眠了数羊数到一千还是睡不着好难受,depressed
躺了很久很久就是没法入睡好烦闷好消沉,depressed
天都快亮了才迷迷糊糊睡着白天没精神好累,depressed
最近每天只能睡三四个小时好累心情也好低落,depressed
闭上眼睛脑子就停不下来怎么也睡不好,depressed
半夜总是醒来然后就再也睡不着了好空虚好低落,depressed
听着室友的呼吸声我却在床上翻来覆去好孤独好难受,depressed
又是失眠的一夜天亮了眼睛还是肿的好难过,depressed
连续一周都睡不好了整个人情绪很低落,depressed
同学说我坏话我真的很生气,angry
凭什么让我一个人做值日太不公平了,angry
他明明答应了我的事又反悔真气人,angry
老师冤枉我抄作业我真的很生气,angry
同桌总是越过三八线说了也不听好气人,angry
他们偷偷议论我真的很愤怒,angry
凭什么每次都是我背锅太过分了,angry
他当众让我下不来台我火冒三丈,angry
明明不是我弄坏的非说是我干的真生气,angry
班干部太偏心了凭什么只管我不管别人,angry
朋友背着我偷偷去玩还骗我说是有事真气人,angry
被同学恶意嘲笑我真的很愤怒,angry
他们合起伙来欺负人我忍无可忍了,angry
凭什么让我把座位让给他我拒绝了好几次真恼火,angry
他说的话太伤人了让我好生气好恼火,angry
我没有抄作业老师凭什么不信我真生气,angry
我不是故意的他们为什么非要怪我真气人,angry
我只是好心帮忙结果反而被嫌弃了好生气,angry
说了实话反而被怪罪真是气死我了,angry
我不是那个意思他们干嘛这么误会我好恼火,angry
解释了半天也没人听真的太气人了,angry
被冤枉的感觉太难受了心里好愤怒好生气,angry
我做错了什么要被这样对待太不公平了好气,angry
明明是他们的错凭什么怪到我头上真生气,angry
不是我传的闲话凭什么让我道歉真恼火,angry
评优名额明明该我的被顶替了好生气,angry
凭什么他迟到没事我迟到就挨骂真不公平,angry
运动会接力赛我跑得最好却不让我上场的真气,angry
辛苦做的项目被别人拿去邀功气死我了,angry
为什么别人犯错就没事我就要被罚好生气,angry
名额给了关系户完全不公平我真愤怒,angry
老师在班里偏心某些同学真让人火大,angry
我被安排了最多的值日任务凭什么真恼火,angry
凭什么我发言总是被打断别人就可以好生气,angry
明明我是对的却没人站出来帮我说话好气人,angry
妈妈又不听我解释就吼我真的好烦好生气,angry
爸爸说话太难听了我们大吵了一架我很愤怒,angry
